,textDisplay
6,Yes i love this guy kets go harry❤❤
24,C&#39;est un attrape nigaud...personne ne peut dépenser autant d&#39;argent dans des vidéos...pas même l&#39;homme le plus riche du monde. Ça te mettrait sur le carreau.
31,Y este doblaje😓
33,Your in fall guys
34,you beat pewdiepie by 2 million
37,George
38,Porque el doblaje aqui es diferente al del otro canal? XD
45,Translator pls : hola soy juan Pablo y soy de México y nunca eh podido ver otros países ni cuando nací u por eso veo tus videos además de ser muy humilde me encanta que agas esos retos Ojalá conocerte un día soy de MEXICO De un pueblo llamado salvatierra pueblo mágico
49,Noooooo george is my best gamer and its lose;(
50,"Is Mister Best, what do you think to take off the hat?"
59,Turkish dubbing???😢😢😢
62,Привет из России MrBeast 👋
63,Amazing project bro RESPECT 🙏🏻
67,Your the best!!!!!!!!!
73,i bot your chocolate bar today i hav a  vid on other channel
80,Russian gays?
83,Soy el único comentario en español?
90,Hãy mở bản âm thanh tiếng việt như trước đây đi beast!!!
92,почему тут по Русски?
112,Good
114,Ты на русском говоришь?
117,Lol
121,Việt Nam ❤❤❤
126,Спасибо MrBeast за хороший контент на русском языке!
139,Que bueno que ahora está en chile orgulloso de ser chileno latinoaméricano 🧐🤑
140,Because your kinda the most famous youtuber in the world
144,تحيه من اليمن يا بطل
156,Great vids! Wow and here I am still saving money for a gaming computer😅
158,türk varmı
161,Orang Indonesia Vidio nya wkwkwkk
163,Мистро бист почему ты стал вести на русском?
167,I&#39;m in Thailand
168,No english
169,Would you please come to Turkey?
176,hoola soy de peru
182,no
189,I am dog :/
190,Hey Mr. B’s come on
191,Con razón
197,No exacto momento que o speed saiu alguém tirou a mão lá no fundo Mrbeast
209,Он сделал переводы на 10 языков
213,Ol lO<br>   l l<br>   U Việt Nam y
216,Em ở 68 kiêng giang mong anh giúp đỡ
218,Yoooo quiero participar.en mrbeast Chileee
219,Qué juego harás en mi Chile????
224,Mr Bean me dá r$ 200 para mim poder fazer meu som aqui do paredão da casa do meu pai
231,But close doesn’t matter!!!!😂😂😂😂
234,Is MrBeast 3 your channel
237,Trời không có tiếng Việt :)
242,Болел за IShowSpeed...
245,"I’ve never been in one of your videos, and I’ve been subscribed for three years and how"
251,I love your channel Mr. Beast
253,I&#39;m Russian
257,ISHOWSPEED PLS WIN
258,I didn&#39;t realise  this viedo  is in Southend UK!
259,"You were this close , but close doesn&#39;t matter 💀💀😂😂"
263,"Next episode: last to take Hand of Eiffel Tower, win it&#39;s"
264,ISHOWSPEED<br>LOL
266,Оригинальный ак биста выкладывает видео на русском? Я чет не понимаю рофла
275,"Mr. Bast , do you really speak Russian or is it a voice - over ???"
278,ishowspeed please win
283,I already subscribe Mr.Beast
301,The private jets look cool
303,Hai i m indo
305,no
306,Im subscribed
307,no
311,"Last to take hand off USA, keeps it!!"
312,Я тоже этого не понимаю
313,I want shout out
318,Это официальный канал биста? Почему озвучка на русском?
319,Hello Mr. Beast once around the world in Indonesia I also want a lambo
320,I have followed and subscribed to you everywhere
321,тем временем гари который в конце орал что он выбил
322,Lol his vids are the best
323,không nói tiếng việt ạ
324,So Cool 😎
332,C&#39;est tellement marrant de les voirs galéré 🤣 En vrai respect à eu car ils sont pris des heures et des heures à coller leur mains sur le jet 😅
333,please turkish voice
334,Give me 1000$ 😁
335,You beat Pewdiepie
336,مستر بيست مبروك عى ١٠٠مليون مشترك إن شاءلله توسل الى 999مليار ليش ما تجي الى العراق انت دقول الي يشترك يربك ١٠الاف انسحك طب الى دين السلام الله رح يوفقك ويسعدك ويفرح رح توصل 1مليار فكر باعذب جهنم الله يفقك
343,Mr. Beast plzz help me money problem
344,Mr. Beast plzz help mee plzzz 🙏🙏
355,"<a href=""about:invalid#zCSafez""></a>"
358,Mr Bean aku sangat pengen PS4 tapi aku ada kat Malaysia
359,Do you have a P.O. Box?
366,Мистер Бист можешь пожалуйста дать 1000$🙏🙏
388,"This looks fun, yet it&#39;s so difficult because at some point you will have to take your hand off, intentionally or unintentionally."
391,IShowSpeed!? WTH Why he is here!!!??!
393,MR.BEAST-GIGACHAD SIGMA
395,Sorry ishowspeed
399,Хочу aphone 12😁😂
402,MI CANAL SELLAMA THIAGO8
404,"Man, why have you changed the spanish voice?"
405,Now
406,J&#39;imagine si MrBeast est en Afrique notre vie allait changer.
407,Now
414,Бл я же русский а не из Америки ((((((
418,Подписчику из России можно хотя бы 5тыс $$$$$$
441,"Yeah real close, congrats Inbox me using the above name to claim prize🎁🎁 on DISCORD"
445,Rip
446,У меня видео на русском не знаешь почему?
452,Когда бист газировка
455,Hi mr beast I want participate any of your chalange an surely I will win because <br>I am from India 🇮🇳
457,Nooo
462,XD
464,Sorry
472,"No don&#39;t say that, congrats Inbox me using the above name to claim prize🎁🎁 on DISCORD"
475,Imagine your playbutton being in space
493,Help me mr boss
494,Porfa
507,It’s a scam
508,"Yeah, he&#39;s so cool, congrats Inbox me using the above name to claim prize🎁🎁 on DISCORD"
513,@mrbeast soy de Mexico nunca eh visto salga uno me imagino que es racista mrbeats
521,Мистр бист сними видео с хаги ваги пожалоста
528,Bro you are a great YouTuber and you help a lot of people please help me I am in great problem I want to raise funds urgently
539,Chunks he is somalia🇸🇴
