,textDisplay,authorDisplayName,authorChannelUrl,likeCount,spam
0,Hi,Lebron,http://www.youtube.com/channel/UCimAkW0digxXwBLVt7p0xYg,0,1
1,WHERE CAN YOU FIND BEAST BURGER IMEED TO KMOW!!!!!!,Norabaka,http://www.youtube.com/channel/UC5tWZwAhxPB5SoatAVDvvZQ,0,1
2,❤️❤️❤️,Faisal Ahmed,http://www.youtube.com/channel/UC7QNPKPXzNI88amrVKhB01Q,1,1
3,IGHT,Minecraft Missionary,http://www.youtube.com/channel/UCwcx5cjUNflz5Q7NrW4psjw,0,1
4,Hola,FREN,http://www.youtube.com/channel/UCK9_bFIW8l3AYNyy4ErHiXg,0,1
5,Me besaste es lo mejor,NOEL MATHIAS,http://www.youtube.com/channel/UCC9BKF4FDyC0dd2pHzD-WNw,0,1
6,Yes i love this guy kets go harry❤❤,CRYPTO,http://www.youtube.com/channel/UCeYsd-jG5fwHaoejdAmTW4A,0,0
7,Speed is crazy😂,JailyneTutu,http://www.youtube.com/channel/UCkuRjX2lyxW49rVQRD811QA,0,1
8,ليش وتتوزع ١٠٠  حساب ماينكرافت وأاني تطيني أول واحد,Gfv Hbvg,http://www.youtube.com/channel/UCeN_XYb6tW87Qm_Z2kJc5_Q,0,1
9,Vivo en costarica en pasifico en las ultima de los almebro,el masmalo,http://www.youtube.com/channel/UCBq2vNbb5UBMvfh3TzNcKcA,0,1
10,esel 17 de nabibab,el masmalo,http://www.youtube.com/channel/UCBq2vNbb5UBMvfh3TzNcKcA,0,1
11,BLIN,viply doy,http://www.youtube.com/channel/UCkiPeB31yuKFWtwZjYxiRXw,0,1
12,Mantap,Khxlis Production,http://www.youtube.com/channel/UCyVM1YL2XgevbbFVs_BaKUA,0,1
13,"<a href=""https://www.youtube.com/watch?v=kX3nB4PpJko&amp;t=0m01s"">0:01</a>",Sammy Man,http://www.youtube.com/channel/UC0Ch8bifpSQUgtIfB7_qjzQ,0,1
14,HeyYouCrazyAndI loveloveI CrazyGiveMoney,A7M D,http://www.youtube.com/channel/UCHFKW8P3wF3UrpPXaoPmVSw,0,1
15,Arabic language its good idea,Hasone Al,http://www.youtube.com/channel/UC72IQo8r9npwHuHwwpGTV1g,0,1
16,CAN YOU PLS MAKE A PUBLIC FIVE NIGHTS AT FREDYS PIZZAERIA!!!!!pls,Shawna Santus,http://www.youtube.com/channel/UCsCF2DRaeSKrrHXuf12L6Rw,0,1
17,como se hace para participar en tus retos<br>saludos desde peru,Yordy Poma Huanca,http://www.youtube.com/channel/UCdQpCsaQ9uT_kAi8fBVPlIw,0,1
18,speed🤣,gershon *__*,http://www.youtube.com/channel/UCphVWE2iFwu5g9iRC2gDN4Q,2,1
19,Speed ??,DJ Madrid,http://www.youtube.com/channel/UCvaUM9Y6RHAFN395f0J0SsQ,2,1
20,Mr Bean você pode mandar algum dinheiro para mim eu moro em Brasil eu só seu fã ✨✨✨,Juscelino Fernandes,http://www.youtube.com/channel/UCyQ3W8Rytk_WQDm13qDL8_A,0,1
21,Wow that was really cool,Squirtle ,http://www.youtube.com/channel/UCoqDnSOU-uX8ykpO1svxKRA,2,1
22,🎉,Turan Öztürk,http://www.youtube.com/channel/UCLAx1yJk2br4IMyEhe-Fauw,0,1
23,I 4 0ld,Far Stats,http://www.youtube.com/channel/UCoj2qzqpvtY2prwSrBRb0Yg,0,1
24,C&#39;est un attrape nigaud...personne ne peut dépenser autant d&#39;argent dans des vidéos...pas même l&#39;homme le plus riche du monde. Ça te mettrait sur le carreau.,Papillon Fr,http://www.youtube.com/channel/UCkUfc6uvlt8FMyN6qyUZQwQ,0,0
25,Por favor faz o desafio da back Room,inacio torcida,http://www.youtube.com/channel/UCfkG_gwqV1rFAi_AgJ0AfCg,0,1
26,8,Tallyson Henrique,http://www.youtube.com/channel/UCpCoEYkAjBr1aufLvZ3dqNw,0,1
